#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
707,525,52177,0.1287202, ,1.042551586,2.0839495,0.028330734,1.157367638,0.440309361, ,0.306393415,0.243614101,0.450080043,0.074998205, , ,0.004882101,0.964480455,2.020997469,5.764963496,0.009213209, ,0.11689444,0.038042628, ,0.042525277,2.989889409,0.124991709,0.145359235,0.106117827
6167,231,56189,0.05639489, , ,4.241671747,2.114876706, ,0.389688798,0.289105417, ,0.257448041,0.446025674,0.070951234,0.012344775,0.005155076, ,0.969639439,1.554682069,4.435839862,0.011562841, ,0.104583822,0.057610054,0.015103508,0.037097697,3.005882261,0.109049427,0.225173262,0.168077516
467,628,51901,0.1078004, , , ,0.646694467,1.496948041,0.349331525,0.183022058,0.108628867,0.250822613,0.463155507,0.04452031, ,0.005339154, ,1.012788917,1.50966878,4.315786167,0.027746769, ,0.108492871,0.078309816,0.026447997,0.047330212,3.139645643,0.13923883,0.266094998,0.188411188
524,260,52027,0.08543354, , , ,0.501785475,1.462956099,0.372070619,0.285668607, ,0.243947817,0.468362064,0.044657881, , , ,0.971031055,1.716336174,4.897389183,0.005061088, ,0.116979258,0.046923323,0.015871825,0.042128881,3.010196269,0.12384194,0.195367876,0.152723936
4691,745,55651,0.1036042, ,0.168658679,3.561919376,0.975393063,0.861326947,0.372134273,0.178131769,0.12642156,0.241314291,0.443228212,0.044233913,0.007932614, ,0.000669284,0.975537749,1.591931076,4.543348216, ,0.015110604,0.110339703,0.062915718,0.016542976,0.068776722,3.024167022,0.202192943,0.229096745,0.167463499
4717,121,55742,0.3904977,0.151550963,0.365899257,0.942017987,0.279255915,1.904021512,0.903557935,0.029994257,0.381250868,0.20037365,0.400367708,0.150965233,0.231849592,0.038671006,0.018611163,0.927294687,3.88087333,11.05091463, ,0.024839008,0.124565226,0.213594151,0.06318653,0.191943366,2.874613531,0.563761164,0.448076367,0.277437165
4485,407,55836,0.05227381, , ,0.062390361,0.115498892,0.306206461,0.478490866,0.173521501,0.121372359,0.222194586,0.415905957,0.152642286,0.009705399,0.033773247,0.02380938,0.957468279,2.728955675,7.781904902, , ,0.11330815,0.013156351,0.034461594,0.008492427,2.968151665,0.024957895,0.056410734,0.04713585
4537,899,55806,0.08397602, ,0.209085503,4.113454677,0.83573152,1.083438245,0.435479755,0.234918024,0.075638152,0.257833206,0.446877804,0.049537009,0.004203033,0.008199863, ,0.937903175,1.716814084,4.891166974, ,0.013017242, ,0.047151599,0.016327706,0.039641879,2.907499844,0.116457229,0.194719711,0.137381766
469,110,51913,0.1107017, , ,0.276264579,0.626797658,0.897235835,0.404671898,0.237367393,0.036911606,0.223473809,0.431703715,0.052386881,0.004247367,0.00611223, ,0.932091877,1.823639685,5.194070638,0.008398593,0.028528085,0.11268508,0.049064568,0.016278437,0.039598162,2.88948482,0.116315617,0.1740162,0.132847381
272,238,51941,0.1127377, , ,0.405264537,2.268935659,2.594156033,0.986011919,0.132143335,0.273169581,0.265561442,0.507770705,0.207599046,0.180347838,0.020258512,0.029159105,1.042211107,3.072979005,8.796157293, ,0.019817844,0.117840063,0.462360868,0.168681324,0.310660832,3.230854432,0.914398987,0.752294294,0.611373436
